epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4533.91,1.41821,1.13107,1.39639,0.54664,0.49125,0.48117,0.2591,2.0464,2.60811,1.84698,0.000945641,0.000945641,0.000945641
43,4640.57,1.41947,1.1051,1.39772,0.56654,0.49919,0.49626,0.26533,2.01939,2.45275,1.79127,0.000933851,0.000933851,0.000933851
44,4748.25,1.41247,1.11429,1.3944,0.55545,0.47053,0.47701,0.25778,2.08108,2.94448,1.85851,0.000922062,0.000922062,0.000922062
45,4853.72,1.40637,1.10403,1.38253,0.5913,0.47867,0.48597,0.25682,2.15549,2.50749,1.93204,0.000910273,0.000910273,0.000910273
46,4959.93,1.3978,1.07928,1.38423,0.54575,0.47363,0.48228,0.26168,2.07498,2.66626,1.91829,0.000898484,0.000898484,0.000898484
47,5066.16,1.39236,1.08133,1.37841,0.60509,0.49871,0.51169,0.27192,2.05449,2.63966,1.91016,0.000886694,0.000886694,0.000886694
48,5172.12,1.38121,1.0574,1.37211,0.59008,0.50464,0.5004,0.27001,2.02004,2.60439,1.89298,0.000874905,0.000874905,0.000874905
49,5278.76,1.3785,1.06418,1.37167,0.62182,0.48708,0.51179,0.27318,2.10892,2.49089,1.87106,0.000863116,0.000863116,0.000863116
50,5385.07,1.372,1.04437,1.35945,0.59627,0.50108,0.50572,0.2724,2.12715,2.54202,1.92551,0.000851327,0.000851327,0.000851327
51,5490.68,1.36396,1.02675,1.3524,0.57421,0.49274,0.51,0.27372,2.06685,2.56233,1.87151,0.000839537,0.000839537,0.000839537
52,5597.45,1.3506,1.01016,1.35015,0.61783,0.51244,0.52261,0.28349,2.03023,2.50734,1.82753,0.000827748,0.000827748,0.000827748
53,5705.07,1.35152,1.00175,1.34893,0.58081,0.51696,0.51745,0.27809,2.05173,2.35435,1.79457,0.000815959,0.000815959,0.000815959
54,5811.37,1.336,0.99379,1.33465,0.5793,0.51837,0.50595,0.27532,2.03533,2.34888,1.81379,0.00080417,0.00080417,0.00080417
55,5917.6,1.33554,0.98472,1.3388,0.62612,0.51909,0.53395,0.28771,2.02329,2.31779,1.80564,0.00079238,0.00079238,0.00079238
56,6025.32,1.32656,0.96632,1.32166,0.57992,0.52319,0.52037,0.28316,2.10545,2.48024,1.84868,0.000780591,0.000780591,0.000780591
57,6132.8,1.32595,0.98272,1.32424,0.63693,0.52171,0.53202,0.28859,2.09098,2.30439,1.85983,0.000768802,0.000768802,0.000768802
58,6241.26,1.30744,0.94683,1.30772,0.63752,0.50988,0.53222,0.29159,2.08939,2.38935,1.84043,0.000757013,0.000757013,0.000757013
59,6348.69,1.30843,0.94533,1.31112,0.65376,0.53086,0.54592,0.29741,2.06964,2.42231,1.8012,0.000745223,0.000745223,0.000745223
60,6456.3,1.28662,0.94238,1.30376,0.62139,0.52274,0.52767,0.28639,2.15125,2.39301,1.90923,0.000733434,0.000733434,0.000733434
61,6562.75,1.28717,0.93033,1.29876,0.64926,0.51417,0.54009,0.2902,2.12474,2.38339,1.85221,0.000721645,0.000721645,0.000721645
62,6668.59,1.27209,0.92518,1.29123,0.61159,0.51009,0.52437,0.2854,2.10168,2.49254,1.85075,0.000709856,0.000709856,0.000709856
