               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
34,0.038634,0.020499,0.0016199,0.59578,0.51904,0.51961,0.25722,0.064054,0.013917,0.0061046,0.0072775,0.0072775,0.0072775
35,0.038297,0.020949,0.0015998,0.61946,0.499,0.518,0.25641,0.061784,0.014734,0.0069608,0.007195,0.007195,0.007195
36,0.037773,0.020815,0.0013632,0.63148,0.5304,0.53912,0.26495,0.058805,0.015086,0.0070405,0.0071125,0.0071125,0.0071125
37,0.037696,0.020275,0.0015551,0.64408,0.50326,0.51699,0.25719,0.062092,0.014308,0.0040512,0.00703,0.00703,0.00703
38,0.037556,0.020271,0.0015032,0.65986,0.53534,0.5409,0.26605,0.061446,0.014406,0.0095689,0.0069475,0.0069475,0.0069475
39,0.037003,0.020434,0.001451,0.58584,0.5453,0.53158,0.27019,0.06322,0.013903,0.0051291,0.006865,0.006865,0.006865
40,0.036948,0.020161,0.0013774,0.60155,0.53825,0.53054,0.26447,0.064448,0.013818,0.0052661,0.0067825,0.0067825,0.0067825
41,0.036815,0.020228,0.0013458,0.61452,0.53778,0.53985,0.26713,0.064222,0.014088,0.0060951,0.0067,0.0067,0.0067
42,0.036608,0.020354,0.0012864,0.63238,0.52581,0.53424,0.2628,0.061568,0.014352,0.0067115,0.0066175,0.0066175,0.0066175
43,0.035964,0.019341,0.0013386,0.61479,0.54252,0.5429,0.27179,0.062767,0.014596,0.0039583,0.006535,0.006535,0.006535
44,0.036143,0.019507,0.0012719,0.63139,0.52587,0.52259,0.26938,0.062547,0.013958,0.0044157,0.0064525,0.0064525,0.0064525
45,0.035918,0.019503,0.0014789,0.6588,0.53511,0.54089,0.2731,0.063187,0.014015,0.0061238,0.00637,0.00637,0.00637
46,0.035784,0.019725,0.0011674,0.67196,0.54113,0.55635,0.28356,0.062311,0.01476,0.0065044,0.0062875,0.0062875,0.0062875
47,0.035571,0.019113,0.001227,0.67388,0.53594,0.55168,0.28105,0.061163,0.014665,0.005475,0.006205,0.006205,0.006205
48,0.035376,0.019337,0.001116,0.65224,0.53783,0.54195,0.27857,0.059944,0.014398,0.0042759,0.0061225,0.0061225,0.0061225
49,0.035292,0.019239,0.0011359,0.60521,0.52417,0.51286,0.2684,0.062246,0.015529,0.010965,0.00604,0.00604,0.00604
50,0.034916,0.019377,0.0011782,0.70302,0.51907,0.5575,0.28513,0.060448,0.015044,0.0046368,0.0059575,0.0059575,0.0059575
51,0.034716,0.019485,0.0012484,0.66845,0.54073,0.54705,0.27919,0.06136,0.0152,0.0068112,0.005875,0.005875,0.005875
52,0.034459,0.018728,0.0012774,0.68855,0.53843,0.55378,0.28411,0.06115,0.014907,0.0062745,0.0057925,0.0057925,0.0057925
53,0.034791,0.018759,0.0011897,0.6449,0.54214,0.54744,0.28585,0.063229,0.014356,0.0055288,0.00571,0.00571,0.00571
