epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5246.28,1.36685,1.03649,1.36342,0.55377,0.48516,0.4863,0.25757,2.05398,2.7381,1.87275,0.000945641,0.000945641,0.000945641
43,5370.58,1.3358,1.00157,1.34734,0.59755,0.48074,0.49217,0.2685,2.12067,2.81796,1.91522,0.000933851,0.000933851,0.000933851
44,5494.55,1.33468,0.99753,1.33796,0.61206,0.4802,0.49379,0.27023,2.0872,2.86564,1.92963,0.000922062,0.000922062,0.000922062
45,5618.66,1.32123,0.9833,1.33332,0.59389,0.50146,0.49075,0.26277,2.09821,2.82317,1.85876,0.000910273,0.000910273,0.000910273
46,5743.75,1.33141,0.98946,1.33847,0.64112,0.50194,0.53643,0.28362,2.06579,2.2977,1.87174,0.000898484,0.000898484,0.000898484
47,5870.56,1.3161,0.9749,1.3302,0.60489,0.52995,0.54181,0.29263,2.01235,2.07984,1.79211,0.000886694,0.000886694,0.000886694
48,5997.87,1.3132,0.97871,1.33713,0.63041,0.52102,0.5474,0.29563,2.0203,2.29895,1.7919,0.000874905,0.000874905,0.000874905
49,6124.15,1.30317,0.96079,1.32097,0.67774,0.50193,0.53231,0.28854,2.06235,2.54245,1.8289,0.000863116,0.000863116,0.000863116
50,6249.1,1.28536,0.94888,1.30344,0.62403,0.49531,0.52088,0.28106,2.0879,2.55848,1.88685,0.000851327,0.000851327,0.000851327
51,6374.21,1.29202,0.93635,1.30964,0.60078,0.5228,0.52901,0.28142,2.08285,2.41131,1.8319,0.000839537,0.000839537,0.000839537
52,6498.33,1.27821,0.91294,1.3017,0.57732,0.49851,0.50629,0.2738,2.10882,2.76126,1.93677,0.000827748,0.000827748,0.000827748
53,6623.41,1.25809,0.90458,1.28982,0.57417,0.52274,0.52352,0.28351,2.08955,2.43217,1.8578,0.000815959,0.000815959,0.000815959
54,6748.77,1.27483,0.91267,1.29647,0.58348,0.51409,0.51927,0.28412,2.06801,2.41331,1.85629,0.00080417,0.00080417,0.00080417
55,6873.43,1.25684,0.89101,1.28626,0.63676,0.49572,0.52807,0.28696,2.12776,2.45705,1.89808,0.00079238,0.00079238,0.00079238
56,6998.48,1.26472,0.89854,1.29601,0.6472,0.4954,0.52638,0.29536,2.05792,2.582,1.83882,0.000780591,0.000780591,0.000780591
57,7123.95,1.2209,0.86024,1.26612,0.61845,0.51605,0.53243,0.29164,2.06263,2.38522,1.81214,0.000768802,0.000768802,0.000768802
58,7248.94,1.22398,0.85966,1.26762,0.62896,0.53939,0.54748,0.29865,2.05019,2.28984,1.82475,0.000757013,0.000757013,0.000757013
59,7376.0,1.2137,0.84614,1.26005,0.61241,0.5303,0.54346,0.29531,2.09992,2.22913,1.82658,0.000745223,0.000745223,0.000745223
60,7501.21,1.20749,0.8454,1.25983,0.58812,0.5179,0.52634,0.29429,2.08764,2.53747,1.83265,0.000733434,0.000733434,0.000733434
61,7625.31,1.1949,0.82426,1.24853,0.61259,0.52405,0.52788,0.29087,2.05853,2.51797,1.8186,0.000721645,0.000721645,0.000721645
62,7751.31,1.19725,0.82691,1.24607,0.60482,0.51726,0.53534,0.29997,2.02298,2.34029,1.79622,0.000709856,0.000709856,0.000709856
63,7876.17,1.18807,0.81222,1.24123,0.60084,0.52192,0.52422,0.2948,2.01958,2.52655,1.83133,0.000698066,0.000698066,0.000698066
64,8003.5,1.1839,0.81123,1.24255,0.57337,0.5244,0.5176,0.28964,2.08651,2.74878,1.85993,0.000686277,0.000686277,0.000686277
65,8127.67,1.17367,0.807,1.23719,0.64192,0.50402,0.52869,0.29709,2.09823,2.45186,1.84486,0.000674488,0.000674488,0.000674488
66,8252.93,1.17388,0.7912,1.23435,0.62599,0.52919,0.54173,0.3046,2.09253,2.39114,1.85809,0.000662699,0.000662699,0.000662699
67,8380.49,1.17135,0.79636,1.23386,0.66591,0.49653,0.54096,0.29968,2.10801,2.51167,1.86131,0.000650909,0.000650909,0.000650909
68,8505.63,1.14684,0.77933,1.21483,0.63026,0.51482,0.53576,0.29724,2.10584,2.43257,1.8859,0.00063912,0.00063912,0.00063912
69,8630.96,1.15135,0.76721,1.21863,0.57518,0.53855,0.52183,0.29389,2.06038,2.45098,1.82275,0.000627331,0.000627331,0.000627331
70,8756.84,1.15179,0.75796,1.21246,0.63635,0.51517,0.53206,0.2987,2.1153,2.63315,1.91854,0.000615542,0.000615542,0.000615542
71,8891.65,1.14472,0.76451,1.2147,0.60031,0.50843,0.52354,0.29756,2.06639,2.68683,1.8528,0.000603752,0.000603752,0.000603752
72,9021.6,1.12784,0.7581,1.2055,0.60972,0.52896,0.54176,0.30613,2.08342,2.4566,1.86291,0.000591963,0.000591963,0.000591963
73,9149.6,1.11765,0.73711,1.19482,0.61793,0.53622,0.5464,0.30753,2.07337,2.40304,1.82082,0.000580174,0.000580174,0.000580174
74,9276.62,1.1132,0.72444,1.18795,0.6215,0.52089,0.5386,0.30414,2.1148,2.41883,1.8632,0.000568385,0.000568385,0.000568385
75,9404.49,1.09929,0.7322,1.18807,0.66608,0.4862,0.52995,0.30202,2.12712,2.58735,1.90065,0.000556595,0.000556595,0.000556595
76,9531.17,1.10855,0.72157,1.18986,0.65631,0.50746,0.53452,0.30275,2.16187,2.63778,1.95393,0.000544806,0.000544806,0.000544806
77,9657.48,1.08934,0.71115,1.18295,0.64191,0.51812,0.54148,0.30769,2.14387,2.43597,1.94,0.000533017,0.000533017,0.000533017
78,9782.5,1.08372,0.70674,1.17367,0.62948,0.5327,0.54295,0.30831,2.08274,2.34632,1.86826,0.000521228,0.000521228,0.000521228
79,9910.19,1.08465,0.69686,1.17307,0.60509,0.52827,0.53223,0.3067,2.09685,2.46815,1.86124,0.000509438,0.000509438,0.000509438
80,10037.0,1.07293,0.68362,1.16463,0.64585,0.52117,0.53108,0.30899,2.1212,2.61655,1.91147,0.000497649,0.000497649,0.000497649
81,10163.8,1.07305,0.69453,1.16568,0.62361,0.53339,0.53787,0.31364,2.12304,2.49951,1.91597,0.00048586,0.00048586,0.00048586
82,10290.7,1.05524,0.67852,1.16061,0.58973,0.53337,0.53097,0.30965,2.15338,2.49492,1.96234,0.000474071,0.000474071,0.000474071
