               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032814,            0.015231,           0.0033875,             0.91174,             0.88547,             0.93355,             0.65234,            0.021231,           0.0050605,          0.00077477,             0.00307,             0.00307,             0.00307
                  37,            0.034763,            0.015476,           0.0032357,             0.89242,             0.88902,             0.92056,              0.6436,            0.021956,           0.0049166,          0.00084212,            0.002872,            0.002872,            0.002872
                  38,            0.030672,            0.015345,           0.0039331,             0.90653,             0.90359,             0.94078,             0.60635,            0.021492,           0.0048363,          0.00069964,            0.002674,            0.002674,            0.002674
                  39,             0.03137,            0.015606,           0.0029765,             0.91616,             0.88613,             0.94761,             0.62681,            0.021426,           0.0048449,          0.00074602,            0.002476,            0.002476,            0.002476
                  40,            0.034086,            0.015454,           0.0029212,             0.91906,             0.90082,             0.93703,             0.63373,            0.020825,           0.0049082,          0.00079473,            0.002278,            0.002278,            0.002278
                  41,            0.030885,            0.014668,           0.0027837,             0.92336,             0.91036,             0.94973,             0.65875,            0.020402,           0.0048145,          0.00054492,             0.00208,             0.00208,             0.00208
                  42,            0.029712,            0.014832,           0.0028613,             0.91704,             0.90738,             0.95245,             0.68367,            0.020632,           0.0047011,          0.00046155,            0.001882,            0.001882,            0.001882
                  43,             0.03198,            0.015012,           0.0031861,             0.92759,             0.88761,             0.94306,             0.65011,            0.020026,           0.0047359,          0.00069479,            0.001684,            0.001684,            0.001684
                  44,            0.029765,            0.014466,           0.0031515,             0.94418,             0.90611,             0.95983,             0.65663,            0.019847,           0.0047785,          0.00039434,            0.001486,            0.001486,            0.001486
                  45,            0.029415,            0.014598,           0.0030946,             0.92942,             0.90628,             0.95585,             0.67945,            0.019711,           0.0048133,          0.00058069,            0.001288,            0.001288,            0.001288
                  46,            0.031708,            0.014629,           0.0019023,             0.92394,             0.91344,             0.95438,              0.6853,            0.019523,           0.0047324,          0.00048536,             0.00109,             0.00109,             0.00109
                  47,            0.030636,            0.014238,           0.0024411,              0.9282,             0.92958,             0.95667,             0.69757,            0.019015,           0.0045627,          0.00037981,            0.000892,            0.000892,            0.000892
                  48,            0.028979,            0.014466,           0.0023477,             0.92667,             0.92343,             0.95802,              0.6884,            0.018899,           0.0046094,          0.00035999,            0.000694,            0.000694,            0.000694
                  49,            0.029194,            0.013952,           0.0029534,             0.92865,             0.91794,             0.96203,             0.68825,            0.018954,           0.0046619,          0.00035415,            0.000496,            0.000496,            0.000496
