epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.415,1.92475,2.67287,1.8353,0.56782,0.14657,0.12672,0.05155,2.9016,4.04542,2.56853,0.000474735,0.000474735,0.000474735
2,236.86,2.0053,2.30194,1.88009,0.62463,0.10401,0.11587,0.04262,2.69235,4.82233,2.50709,0.000932237,0.000932237,0.000932237
3,349.042,1.99133,2.2471,1.85384,0.63235,0.2399,0.24268,0.10689,2.59728,3.91942,2.45955,0.00137088,0.00137088,0.00137088
4,459.632,1.91601,2.10318,1.79281,0.6283,0.24784,0.2612,0.11678,2.46408,3.59507,2.29383,0.00134412,0.00134412,0.00134412
5,572.074,1.88008,2.03229,1.77385,0.76607,0.27023,0.31543,0.13756,2.43408,2.83305,2.3313,0.00131582,0.00131582,0.00131582
6,682.136,1.84439,1.91738,1.73088,0.37356,0.33949,0.31521,0.14961,2.39482,3.38455,2.21242,0.00128753,0.00128753,0.00128753
7,794.476,1.81245,1.85693,1.705,0.43203,0.39643,0.37721,0.16795,2.41425,2.89736,2.14412,0.00125923,0.00125923,0.00125923
8,906.28,1.7644,1.76567,1.66377,0.39988,0.42564,0.38913,0.18767,2.30238,2.82007,2.02563,0.00123094,0.00123094,0.00123094
9,1016.96,1.74101,1.70612,1.64991,0.71943,0.3,0.37996,0.17889,2.21009,2.95853,2.05947,0.00120265,0.00120265,0.00120265
10,1128.46,1.72637,1.66464,1.63403,0.55079,0.34529,0.3758,0.18123,2.23767,3.16057,2.0814,0.00117435,0.00117435,0.00117435
11,1238.79,1.6928,1.60879,1.61709,0.5146,0.42753,0.40342,0.20317,2.19246,2.93335,1.95892,0.00114606,0.00114606,0.00114606
12,1349.78,1.69946,1.60088,1.61385,0.52138,0.4208,0.42793,0.21454,2.19342,2.65459,2.03645,0.00111776,0.00111776,0.00111776
13,1459.85,1.68231,1.59424,1.59695,0.49551,0.43061,0.41372,0.20898,2.18347,2.87369,2.02022,0.00108947,0.00108947,0.00108947
14,1568.66,1.65267,1.52721,1.57954,0.51262,0.40503,0.42046,0.21379,2.16052,2.56346,2.03487,0.00106118,0.00106118,0.00106118
15,1677.98,1.62745,1.50015,1.56315,0.61535,0.41444,0.45258,0.22821,2.15635,2.46998,1.96845,0.00103288,0.00103288,0.00103288
16,1788.51,1.61611,1.46979,1.54894,0.47746,0.41607,0.39852,0.20776,2.14429,2.97175,1.89043,0.00100459,0.00100459,0.00100459
17,1897.95,1.61026,1.46781,1.54372,0.54386,0.43123,0.44993,0.22945,2.0979,2.50293,1.87004,0.000976293,0.000976293,0.000976293
18,2008.46,1.60035,1.41555,1.53552,0.56267,0.44382,0.47003,0.24062,2.00573,2.32006,1.80451,0.000947999,0.000947999,0.000947999
19,2118.23,1.60148,1.41805,1.53449,0.54221,0.45667,0.48076,0.24679,2.02112,2.14468,1.80734,0.000919704,0.000919704,0.000919704
20,2228.71,1.57001,1.3779,1.51309,0.55446,0.44634,0.47614,0.2469,2.03303,2.46746,1.87045,0.00089141,0.00089141,0.00089141
21,2339.13,1.55464,1.34362,1.50385,0.52364,0.46723,0.46463,0.23687,2.14104,2.4798,1.93978,0.000863116,0.000863116,0.000863116
22,2447.54,1.56107,1.36486,1.49514,0.48462,0.44587,0.43687,0.2315,2.25329,2.73731,2.08543,0.000834822,0.000834822,0.000834822
23,2556.13,1.53261,1.29912,1.48615,0.5758,0.4969,0.49004,0.25208,2.00321,2.45859,1.75749,0.000806528,0.000806528,0.000806528
24,2666.36,1.52063,1.29148,1.48102,0.51548,0.46853,0.46548,0.2456,2.10524,2.67364,1.9325,0.000778233,0.000778233,0.000778233
25,2774.89,1.51064,1.29226,1.47871,0.58473,0.46063,0.47196,0.24104,2.05219,2.57572,1.83857,0.000749939,0.000749939,0.000749939
26,2882.88,1.51616,1.27313,1.47367,0.5364,0.47949,0.4878,0.25152,2.12459,2.43213,1.94402,0.000721645,0.000721645,0.000721645
27,2992.63,1.49016,1.22473,1.44909,0.52515,0.50524,0.49107,0.2571,2.01726,2.35893,1.82138,0.000693351,0.000693351,0.000693351
28,3102.42,1.48743,1.21933,1.45203,0.61268,0.5058,0.51974,0.27172,1.98969,2.03852,1.80899,0.000665057,0.000665057,0.000665057
29,3213.58,1.47383,1.20469,1.44171,0.58215,0.49279,0.49385,0.26102,2.01878,2.40666,1.84279,0.000636762,0.000636762,0.000636762
30,3322.2,1.46375,1.19443,1.42826,0.59209,0.48958,0.50606,0.2648,2.01787,2.27269,1.81054,0.000608468,0.000608468,0.000608468
31,3430.42,1.45883,1.18522,1.4266,0.58505,0.49094,0.50824,0.26533,2.01439,2.27597,1.82485,0.000580174,0.000580174,0.000580174
32,3539.26,1.44549,1.16134,1.42401,0.55598,0.46731,0.49274,0.26165,1.9793,2.44204,1.79859,0.00055188,0.00055188,0.00055188
33,3648.33,1.43463,1.14974,1.41451,0.59147,0.48623,0.50553,0.26817,2.04643,2.41001,1.83291,0.000523586,0.000523586,0.000523586
34,3757.35,1.41844,1.12962,1.40246,0.58783,0.50984,0.51348,0.27437,1.99995,2.28771,1.79817,0.000495291,0.000495291,0.000495291
35,3867.09,1.40256,1.11621,1.38598,0.65045,0.49554,0.53403,0.28455,2.00447,2.2632,1.79589,0.000466997,0.000466997,0.000466997
36,3977.5,1.39413,1.08353,1.38558,0.61535,0.50585,0.53021,0.28033,1.95471,2.16076,1.75797,0.000438703,0.000438703,0.000438703
37,4087.08,1.37516,1.06012,1.37265,0.5972,0.51322,0.53216,0.28217,1.99383,2.12455,1.7911,0.000410409,0.000410409,0.000410409
38,4197.15,1.36388,1.03883,1.36479,0.58747,0.5103,0.52218,0.28455,2.00921,2.28653,1.8342,0.000382115,0.000382115,0.000382115
39,4307.29,1.36349,1.0475,1.36105,0.64972,0.50791,0.53301,0.28572,2.03988,2.3546,1.81531,0.00035382,0.00035382,0.00035382
40,4417.93,1.35036,1.01446,1.35505,0.57212,0.52632,0.50556,0.27731,2.00022,2.38634,1.7984,0.000325526,0.000325526,0.000325526
41,4525.84,1.35214,0.9537,1.37796,0.64734,0.49847,0.524,0.28389,2.03037,2.29902,1.82275,0.000297232,0.000297232,0.000297232
42,4633.06,1.32066,0.91263,1.35416,0.60475,0.51081,0.5245,0.28897,2.07135,2.39111,1.89904,0.000268938,0.000268938,0.000268938
43,4742.56,1.30374,0.88644,1.33955,0.64324,0.5218,0.55212,0.29648,2.07578,2.22772,1.8631,0.000240644,0.000240644,0.000240644
44,4851.7,1.28038,0.8593,1.32722,0.65902,0.51979,0.55058,0.29816,2.01798,2.08252,1.82404,0.000212349,0.000212349,0.000212349
45,4957.88,1.26537,0.84038,1.31997,0.67794,0.51311,0.55301,0.30347,2.02338,2.11534,1.84609,0.000184055,0.000184055,0.000184055
46,5066.97,1.24846,0.81251,1.30918,0.68647,0.51946,0.55392,0.30289,2.05272,2.22521,1.85899,0.000155761,0.000155761,0.000155761
47,5173.01,1.24384,0.80595,1.30753,0.65075,0.52322,0.54245,0.29849,2.04061,2.18373,1.85963,0.000127467,0.000127467,0.000127467
48,5279.63,1.21478,0.78359,1.28398,0.67351,0.52005,0.55125,0.3005,2.04734,2.25227,1.87454,9.91726e-05,9.91726e-05,9.91726e-05
49,5389.14,1.20713,0.76813,1.27362,0.67907,0.52513,0.55529,0.30514,2.05906,2.23318,1.87609,7.08784e-05,7.08784e-05,7.08784e-05
50,5497.21,1.18462,0.75808,1.26481,0.65796,0.52877,0.55147,0.30519,2.05584,2.21839,1.86346,4.25842e-05,4.25842e-05,4.25842e-05
