epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0736,1.25468,2.46113,1.71412,0.13897,0.43717,0.18517,0.07228,2.28319,3.77927,2.70923,0.000467673,0.000467673,0.000467673
2,64.8776,1.21008,1.7694,1.67079,0.34088,0.33108,0.28484,0.1159,2.22451,3.67813,2.98101,0.000925315,0.000925315,0.000925315
3,97.7773,1.26426,1.73465,1.72796,0.22489,0.23131,0.13344,0.0415,2.48792,3.37985,3.13266,0.00136409,0.00136409,0.00136409
4,128.252,1.27942,1.75246,1.74668,0.29293,0.39342,0.27455,0.14003,2.02163,2.12744,2.5923,0.00134412,0.00134412,0.00134412
5,157.931,1.22125,1.60216,1.66781,0.43793,0.35283,0.28039,0.14099,2.09712,2.57838,2.70682,0.00131582,0.00131582,0.00131582
6,187.603,1.18168,1.60905,1.64116,0.53178,0.57043,0.50706,0.29577,1.71293,2.07424,2.34761,0.00128753,0.00128753,0.00128753
7,217.225,1.17021,1.58518,1.64019,0.6333,0.691,0.733,0.35796,1.6372,1.61129,2.19985,0.00125923,0.00125923,0.00125923
8,246.549,1.164,1.49893,1.61607,0.50192,0.55327,0.53781,0.33323,1.67033,2.13993,2.21627,0.00123094,0.00123094,0.00123094
9,276.221,1.10069,1.42187,1.56921,0.75536,0.77329,0.80579,0.54892,1.35685,1.21982,1.92208,0.00120265,0.00120265,0.00120265
10,306.976,1.04976,1.266,1.54002,0.59595,0.56263,0.62153,0.28564,1.60335,1.64909,2.07342,0.00117435,0.00117435,0.00117435
11,336.172,1.04952,1.26391,1.52656,0.7741,0.74453,0.80665,0.49662,1.47199,1.26889,1.95916,0.00114606,0.00114606,0.00114606
12,367.016,1.0912,1.284,1.55409,0.83519,0.78515,0.82791,0.54647,1.34006,1.05874,1.8167,0.00111776,0.00111776,0.00111776
13,395.966,1.03566,1.26463,1.51695,0.74582,0.73812,0.77873,0.49964,1.53276,1.30444,1.97398,0.00108947,0.00108947,0.00108947
14,424.936,1.0038,1.22555,1.49554,0.81542,0.8348,0.8705,0.60379,1.27303,1.06832,1.75407,0.00106118,0.00106118,0.00106118
15,454.186,1.01249,1.23424,1.47983,0.71222,0.76468,0.79886,0.56758,1.29299,1.17644,1.77853,0.00103288,0.00103288,0.00103288
16,483.053,0.96531,1.1982,1.45972,0.83305,0.83511,0.87768,0.61539,1.21178,0.94688,1.70427,0.00100459,0.00100459,0.00100459
17,511.934,0.94417,1.12129,1.4578,0.69199,0.57964,0.66368,0.43201,1.54245,1.60703,2.07457,0.000976293,0.000976293,0.000976293
18,540.924,0.95407,1.14466,1.44142,0.87669,0.82939,0.8908,0.60637,1.23685,0.96265,1.79748,0.000947999,0.000947999,0.000947999
19,570.452,0.95711,1.14115,1.4474,0.80369,0.75042,0.81013,0.5157,1.55802,1.18262,1.96246,0.000919704,0.000919704,0.000919704
20,599.603,0.95711,1.11859,1.4475,0.84383,0.84644,0.88775,0.64022,1.15004,0.87687,1.63609,0.00089141,0.00089141,0.00089141
21,628.542,0.93634,1.09087,1.43584,0.83005,0.7683,0.85741,0.60226,1.15495,1.03397,1.63322,0.000863116,0.000863116,0.000863116
22,658.715,0.94342,1.05382,1.44141,0.90452,0.83223,0.91133,0.62362,1.22286,0.88686,1.65006,0.000834822,0.000834822,0.000834822
23,688.005,0.91469,1.03237,1.41532,0.90134,0.84093,0.91837,0.64148,1.21331,0.87823,1.62074,0.000806528,0.000806528,0.000806528
24,717.373,0.91698,1.03868,1.4263,0.89634,0.85973,0.9267,0.67525,1.11118,0.82579,1.56454,0.000778233,0.000778233,0.000778233
25,746.39,0.89465,1.00118,1.4077,0.85181,0.8418,0.90606,0.65551,1.14097,0.91055,1.5509,0.000749939,0.000749939,0.000749939
26,775.259,0.90379,0.94924,1.39532,0.92225,0.87087,0.92391,0.67627,1.11923,0.78362,1.56435,0.000721645,0.000721645,0.000721645
27,804.351,0.87191,0.93947,1.38283,0.87171,0.87063,0.92658,0.68846,1.11873,0.76933,1.57729,0.000693351,0.000693351,0.000693351
28,833.899,0.85139,0.94566,1.37148,0.86472,0.89632,0.92027,0.69095,1.07704,0.76065,1.52828,0.000665057,0.000665057,0.000665057
29,862.912,0.8525,0.94465,1.38178,0.8941,0.85959,0.92947,0.67862,1.15067,0.80518,1.55878,0.000636762,0.000636762,0.000636762
