epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9618,1.20318,2.61765,1.69754,0.48438,0.27222,0.29319,0.1144,2.83452,3.54234,3.60052,0.000467673,0.000467673,0.000467673
2,45.4351,1.24354,1.78183,1.71267,0.05127,0.05,0.01541,0.00338,3.25615,6.2863,4.32301,0.000925315,0.000925315,0.000925315
3,63.7248,1.32515,1.83239,1.76203,0.32801,0.20556,0.13138,0.0383,2.7901,5.79568,3.56539,0.00136409,0.00136409,0.00136409
4,82.9275,1.30225,1.8133,1.75745,0.63356,0.11667,0.08081,0.03418,2.87898,5.25938,3.69806,0.00134412,0.00134412,0.00134412
5,101,1.23023,1.74401,1.70897,0.49126,0.41111,0.4144,0.1709,2.40804,3.50671,3.43063,0.00131582,0.00131582,0.00131582
6,120.443,1.19427,1.63042,1.66339,0.198,0.55,0.30643,0.10235,2.22944,3.19308,2.73371,0.00128753,0.00128753,0.00128753
7,138.922,1.16455,1.554,1.65951,0.46081,0.37222,0.42779,0.21581,1.97772,2.361,2.66577,0.00125923,0.00125923,0.00125923
8,158.226,1.08628,1.48552,1.58805,0.33226,0.38889,0.28955,0.13787,2.00285,3.46927,2.66457,0.00123094,0.00123094,0.00123094
9,176.759,1.10302,1.48529,1.59154,0.61527,0.31972,0.38073,0.1476,1.98982,2.82303,2.4511,0.00120265,0.00120265,0.00120265
10,196.207,1.11545,1.39698,1.60173,0.44859,0.32778,0.3513,0.19526,1.98976,2.56596,2.48684,0.00117435,0.00117435,0.00117435
11,214.497,1.0422,1.36331,1.53285,0.41993,0.44444,0.37544,0.20155,1.93702,2.9863,2.7441,0.00114606,0.00114606,0.00114606
12,233.376,1.00794,1.29812,1.50216,0.77142,0.46578,0.62802,0.30671,1.91816,1.94609,2.47737,0.00111776,0.00111776,0.00111776
13,252.127,1.03764,1.25909,1.52649,0.48711,0.45,0.45497,0.18387,2.14654,1.88026,2.65882,0.00108947,0.00108947,0.00108947
14,270.886,1.00475,1.26546,1.51071,0.59538,0.56134,0.60104,0.27272,1.89226,2.02256,2.38723,0.00106118,0.00106118,0.00106118
15,289.526,0.99842,1.23708,1.50533,0.80211,0.54444,0.64102,0.31622,1.92592,1.79351,2.5574,0.00103288,0.00103288,0.00103288
16,308.069,0.99955,1.19695,1.5124,0.42856,0.56111,0.49164,0.19684,2.14584,1.97013,2.49953,0.00100459,0.00100459,0.00100459
17,327.152,0.98473,1.20049,1.49282,0.42633,0.42222,0.4116,0.22781,1.93567,2.58837,2.64023,0.000976293,0.000976293,0.000976293
18,345.558,0.9918,1.17436,1.49005,0.77346,0.5849,0.68415,0.29983,1.79806,1.69192,2.26799,0.000947999,0.000947999,0.000947999
19,364.602,0.96951,1.14425,1.46357,0.64553,0.67509,0.56819,0.30251,1.93365,1.85035,2.43628,0.000919704,0.000919704,0.000919704
20,383.008,0.92786,1.08749,1.44403,0.5137,0.50863,0.45121,0.23582,1.89824,2.48568,2.46216,0.00089141,0.00089141,0.00089141
21,402.306,0.9443,1.10834,1.47279,0.60212,0.55556,0.58877,0.26496,2.00194,2.03367,2.51342,0.000863116,0.000863116,0.000863116
22,420.684,0.9317,1.07489,1.43623,0.71181,0.58333,0.577,0.29146,1.95435,1.95722,2.58784,0.000834822,0.000834822,0.000834822
